from_year,to_year,from_phenotype_code,to_phenotype_code,n
2011,2012,P1,P1,281463
2011,2012,P2,P2,145791
2011,2012,P2,P3,39737
2011,2012,P3P4_merged,P5,28897
2011,2012,P1,P3,43583
2011,2012,P2,P1,15154
2011,2012,P5,P4,44419
2011,2012,P5,P3,3197
2011,2012,P3P4_merged,P1,11961
2011,2012,P3P4_merged,P3,32347
2011,2012,P2,P4,24414
2011,2012,P1,P2,17196
2011,2012,P3P4_merged,P4,11487
2011,2012,P5,P5,8633
2011,2012,P5,P2,17283
2011,2012,P2,P5,7765
2011,2012,P3P4_merged,P2,14929
2011,2012,P1,P5,2299
2011,2012,P1,P4,1965
2011,2012,P5,P1,908
