from_year,to_year,from_phenotype_code,to_phenotype_code,n
2013,2014,P1,P1,227650
2013,2014,P1,P2,14548
2013,2014,P2,P2,123402
2013,2014,P3,P3,46245
2013,2014,P3,P1,26681
2013,2014,P4,P2,17176
2013,2014,P4,P4,43642
2013,2014,P5,P5,23629
2013,2014,P2,P3,24318
2013,2014,P2,P5,6111
2013,2014,P2,P1,8701
2013,2014,P1,P3,37662
2013,2014,P3,P4,5732
2013,2014,P2,P4,21730
2013,2014,P3,P5,11628
2013,2014,P3,P2,24719
2013,2014,P5,P2,4235
2013,2014,P5,P4,9304
2013,2014,P5,P3,7585
2013,2014,P4,P5,9145
2013,2014,P4,P3,2789
2013,2014,P1,P5,2038
2013,2014,P5,P1,1284
2013,2014,P4,P1,787
2013,2014,P1,P4,1688
