from_year,to_year,from_phenotype_code,to_phenotype_code,n
2016,2017,P2,P5,1865
2016,2017,P5,P2,6519
2016,2017,P2,P4,19625
2016,2017,P5,P4,12118
2016,2017,P1,P3,6931
2016,2017,P3P4_merged,P3,24115
2016,2017,P1,P1,73339
2016,2017,P5,P5,9866
2016,2017,P2,P2,48893
2016,2017,P3P4_merged,P1,18764
2016,2017,P5,P3,9580
2016,2017,P3P4_merged,P4,2711
2016,2017,P2,P1,8306
2016,2017,P5,P1,1420
2016,2017,P2,P3,12618
2016,2017,P1,P2,4312
2016,2017,P3P4_merged,P2,12832
2016,2017,P3P4_merged,P5,4606
2016,2017,P1,P4,310
2016,2017,P1,P5,954
