from_year,to_year,from_phenotype_code,to_phenotype_code,n
2011,2012,P3P4_merged,P3,32212
2011,2012,P1,P1,281569
2011,2012,P2,P2,145382
2011,2012,P1,P3,43704
2011,2012,P5,P4,44273
2011,2012,P3P4_merged,P5,28864
2011,2012,P5,P2,17312
2011,2012,P2,P1,15206
2011,2012,P2,P4,24541
2011,2012,P2,P3,39983
2011,2012,P2,P5,7904
2011,2012,P5,P5,8754
2011,2012,P5,P1,878
2011,2012,P3P4_merged,P1,11834
2011,2012,P3P4_merged,P2,14881
2011,2012,P3P4_merged,P4,11364
2011,2012,P1,P2,17217
2011,2012,P5,P3,3226
2011,2012,P1,P5,2247
2011,2012,P1,P4,1904
