from_year,to_year,from_phenotype_code,to_phenotype_code,n
2016,2017,P1,P1,74639
2016,2017,P3P4_merged,P3,24235
2016,2017,P2,P2,48515
2016,2017,P3P4_merged,P2,12863
2016,2017,P2,P4,19901
2016,2017,P1,P2,4155
2016,2017,P3P4_merged,P5,4654
2016,2017,P5,P4,11907
2016,2017,P3P4_merged,P1,19090
2016,2017,P5,P2,6586
2016,2017,P2,P3,12577
2016,2017,P5,P3,9462
2016,2017,P2,P1,8312
2016,2017,P2,P5,1914
2016,2017,P5,P5,9865
2016,2017,P3P4_merged,P4,2696
2016,2017,P1,P3,6944
2016,2017,P5,P1,1478
2016,2017,P1,P5,995
2016,2017,P1,P4,312
